file||src||doc_id||subdoc_id||texttype||balanced||src_file_or_url||words||chars||sentences
estonian_nc17.vert.01||NC||277||30526||periodicals||_||aja_EPL_2002_10_25.ma||84||584||5
estonian_nc17.vert.01||NC||277||30527||periodicals||_||aja_EPL_2002_10_25.ma||33||227||3
estonian_nc17.vert.01||NC||277||30528||periodicals||_||aja_EPL_2002_10_25.ma||165||1176||12
estonian_nc17.vert.01||NC||277||30529||periodicals||_||aja_EPL_2002_10_25.ma||422||2558||25
estonian_nc17.vert.01||NC||277||30530||periodicals||_||aja_EPL_2002_10_25.ma||366||2608||16
estonian_nc17.vert.01||NC||277||30531||periodicals||_||aja_EPL_2002_10_25.ma||406||2557||26
estonian_nc17.vert.01||NC||277||30532||periodicals||_||aja_EPL_2002_10_25.ma||590||3913||32
estonian_nc17.vert.01||NC||277||30533||periodicals||_||aja_EPL_2002_10_25.ma||10||68||1
estonian_nc17.vert.01||NC||277||30534||periodicals||_||aja_EPL_2002_10_25.ma||149||947||8
estonian_nc17.vert.01||NC||277||30535||periodicals||_||aja_EPL_2002_10_25.ma||315||2068||21
estonian_nc17.vert.01||NC||277||30536||periodicals||_||aja_EPL_2002_10_25.ma||370||2724||20
estonian_nc17.vert.01||NC||277||30537||periodicals||_||aja_EPL_2002_10_25.ma||497||3402||29
estonian_nc17.vert.01||NC||277||30538||periodicals||_||aja_EPL_2002_10_25.ma||185||1227||12
estonian_nc17.vert.01||NC||277||30539||periodicals||_||aja_EPL_2002_10_25.ma||15||109||1
estonian_nc17.vert.01||NC||277||30540||periodicals||_||aja_EPL_2002_10_25.ma||170||1177||8
estonian_nc17.vert.01||NC||277||30541||periodicals||_||aja_EPL_2002_10_25.ma||357||2563||20
estonian_nc17.vert.01||NC||277||30542||periodicals||_||aja_EPL_2002_10_25.ma||341||2377||19
estonian_nc17.vert.01||NC||277||30543||periodicals||_||aja_EPL_2002_10_25.ma||304||1979||21
estonian_nc17.vert.01||NC||277||30544||periodicals||_||aja_EPL_2002_10_25.ma||130||878||8
estonian_nc17.vert.01||NC||277||30545||periodicals||_||aja_EPL_2002_10_25.ma||45||285||3
estonian_nc17.vert.01||NC||277||30546||periodicals||_||aja_EPL_2002_10_25.ma||729||5044||44
estonian_nc17.vert.01||NC||277||30547||periodicals||_||aja_EPL_2002_10_25.ma||696||5042||38
estonian_nc17.vert.01||NC||277||30548||periodicals||_||aja_EPL_2002_10_25.ma||511||3028||46
estonian_nc17.vert.01||NC||277||30549||periodicals||_||aja_EPL_2002_10_25.ma||156||709||18
estonian_nc17.vert.01||NC||277||30550||periodicals||_||aja_EPL_2002_10_25.ma||212||1411||10
estonian_nc17.vert.01||NC||277||30551||periodicals||_||aja_EPL_2002_10_25.ma||828||5278||46
estonian_nc17.vert.01||NC||277||30552||periodicals||_||aja_EPL_2002_10_25.ma||1194||7456||78
estonian_nc17.vert.01||NC||277||30553||periodicals||_||aja_EPL_2002_10_25.ma||224||1268||9
estonian_nc17.vert.01||NC||277||30554||periodicals||_||aja_EPL_2002_10_25.ma||860||5291||28
estonian_nc17.vert.01||NC||277||30555||periodicals||_||aja_EPL_2002_10_25.ma||132||878||9
estonian_nc17.vert.01||NC||277||30556||periodicals||_||aja_EPL_2002_10_25.ma||528||3344||39
estonian_nc17.vert.01||NC||277||30557||periodicals||_||aja_EPL_2002_10_25.ma||516||3228||41
estonian_nc17.vert.01||NC||277||30558||periodicals||_||aja_EPL_2002_10_25.ma||520||3541||22
estonian_nc17.vert.01||NC||277||30559||periodicals||_||aja_EPL_2002_10_25.ma||423||2617||23
estonian_nc17.vert.01||NC||811||74068||periodicals||_||aja_EPL_2006_09_15.ma||166||1053||9
estonian_nc17.vert.01||NC||811||74069||periodicals||_||aja_EPL_2006_09_15.ma||236||1531||12
estonian_nc17.vert.01||NC||811||74070||periodicals||_||aja_EPL_2006_09_15.ma||170||1250||7
estonian_nc17.vert.01||NC||811||74071||periodicals||_||aja_EPL_2006_09_15.ma||135||830||8
estonian_nc17.vert.01||NC||811||74072||periodicals||_||aja_EPL_2006_09_15.ma||170||1138||10
estonian_nc17.vert.01||NC||811||74073||periodicals||_||aja_EPL_2006_09_15.ma||62||486||4
estonian_nc17.vert.01||NC||811||74074||periodicals||_||aja_EPL_2006_09_15.ma||143||1003||7
estonian_nc17.vert.01||NC||811||74075||periodicals||_||aja_EPL_2006_09_15.ma||103||660||6
estonian_nc17.vert.01||NC||811||74076||periodicals||_||aja_EPL_2006_09_15.ma||157||1097||7
estonian_nc17.vert.01||NC||811||74077||periodicals||_||aja_EPL_2006_09_15.ma||136||979||6
estonian_nc17.vert.01||NC||811||74078||periodicals||_||aja_EPL_2006_09_15.ma||126||924||4
